Incident Date,State,City Or County,Address,# Killed,# Injured,#Total
19-Aug-20,Illinois,Chicago,8500 block of S Parnell Ave,0,6,6
18-Aug-20,Pennsylvania,Philadelphia,30th St and Cumberland St,1,4,5
18-Aug-20,New York,Corona (Queens),35-35 21st St,0,4,4
18-Aug-20,Illinois,Rockford,3001 Harney Ct,0,4,4
17-Aug-20,Ohio,Cleveland,Dove Ave and E 102nd St,0,5,5
17-Aug-20,New York,Brooklyn,Atlantic Ave and Hinsdale St,0,4,4
17-Aug-20,Texas,Dayton,County Rd 4901,3,2,5
16-Aug-20,Ohio,Cincinnati,700 block of Chalfonte Pl,1,3,4
16-Aug-20,Ohio,Cincinnati,70 E McMicken Ave,2,9,11
16-Aug-20,Kentucky,Lexington,1000 block of Newtown Ct,1,3,4
16-Aug-20,Ohio,Cincinnati,700 block of Chalfonte Pl,1,3,4
16-Aug-20,Colorado,Denver,W Alameda Ave and S Federal Blvd,2,4,6
16-Aug-20,Oklahoma,Oklahoma City,SW 59th St and Agnew Ave,0,4,4
15-Aug-20,Michigan,Belleville,24914 Martinsville Rd,4,0,4
15-Aug-20,Pennsylvania,Philadelphia,N 10th St and Brown St,0,5,5
15-Aug-20,New York,Rochester,501 Thurston Rd,0,5,5
15-Aug-20,Connecticut,New Haven,Rosette St and Hurlburt St,1,5,6
15-Aug-20,Alabama,Troy,4100 US-231 S,2,3,5
14-Aug-20,New York,New York (Manhattan),111 Lenox Ave,0,4,4
12-Aug-20,New Jersey,Newark,N 12th St,1,4,5
12-Aug-20,Ohio,Dayton,2049 Catalpa Dr,1,3,4
11-Aug-20,California,Torrance,22904 Lockness Ave,0,5,5
9-Aug-20,Colorado,Denver,1400 block of W Byers Pl,0,9,9
9-Aug-20,Ohio,Toledo,Monroe St and N Detroit Ave,0,6,6
9-Aug-20,District of Columbia,Washington,3300 block of Dubois Pl SE,1,21,22
9-Aug-20,Mississippi,Jackson,3600 block of Cromwell St,0,4,4
9-Aug-20,Texas,Houston,9700 Homestead Rd,0,4,4
8-Aug-20,Kentucky,Paducah,900 block of Boyd St,1,4,5
8-Aug-20,Pennsylvania,Philadelphia,1101 N 38th St,0,6,6
8-Aug-20,Massachusetts,Brockton,124 Laureston St,0,5,5
8-Aug-20,Alabama,Birmingham (Ensley),426 18th St,1,5,6
8-Aug-20,New York,Albany,First St and Quail St,1,3,4
6-Aug-20,California,Oakland,4500 block of Fairfax Ave,1,3,4
5-Aug-20,Illinois,Chicago,700 block of S Karlov Ave,0,4,4
4-Aug-20,Wisconsin,Madison,333 S Rosa Rd,0,4,4
4-Aug-20,District of Columbia,Washington,5400 block of Georgia Ave NW,0,4,4
4-Aug-20,California,Beverly Hills,13200 Mulholland Dr,1,4,5
4-Aug-20,Missouri,Saint Louis,5300 block of Bircher Blvd,1,3,4
4-Aug-20,Connecticut,Hartford,818 Windsor St,1,5,6
3-Aug-20,New York,Bronx,450 St Ann's Ave,0,4,4
2-Aug-20,Pennsylvania,Philadelphia,3100 block of Weymouth St,0,4,4
2-Aug-20,New Jersey,Newark,200 block of 6th Ave,0,5,5
1-Aug-20,Illinois,Chicago,100 block of N Laporte Ave,1,4,5
1-Aug-20,Texas,Pointblank,4411 Counts Rd,2,3,5
1-Aug-20,Colorado,Denver,3000 block of W Virginia Ave,1,4,5
1-Aug-20,Alabama,Montgomery,1100 block of Eastern Blvd,0,4,4
31-Jul-20,Pennsylvania,Philadelphia,2500 block of Ingersoll St,2,2,4
30-Jul-20,Florida,Miami Gardens,16701 NW 42 Ave,0,5,5
30-Jul-20,Florida,Tampa,I-275 and Westshore Blvd,0,5,5
29-Jul-20,Michigan,Detroit,5200 block of Canton St,0,4,4
29-Jul-20,Ohio,Elyria,537 Willow Park Rd,5,0,5
29-Jul-20,Missouri,Saint Louis,5500 block of Floy Ave,3,2,5
28-Jul-20,Delaware,Wilmington,1100 block of Beech St,2,2,4
28-Jul-20,Wisconsin,Milwaukee,2600 block of W Atkinson Ave,0,4,4
27-Jul-20,Washington,Federal Way,2410 S 312th St,1,3,4
27-Jul-20,Illinois,Chicago,705 E 92nd Pl,1,4,5
26-Jul-20,Michigan,Flint,4462 Corunna Rd,1,3,4
26-Jul-20,Texas,Mount Enterprise,1039 FM 1798,0,4,4
26-Jul-20,Colorado,Commerce City,6300 block of Ivanhoe St,1,3,4
26-Jul-20,Kentucky,Louisville,I 64 and Hurstbourne Ln,1,3,4
26-Jul-20,Arkansas,Magnolia,1000 block of W Monroe St,0,4,4
25-Jul-20,Michigan,Flint,4813 Clio Rd,0,6,6
25-Jul-20,North Carolina,Raleigh,503 Bragg St,0,4,4
25-Jul-20,Florida,Miami,2900 block of Northwest 51st St,1,3,4
25-Jul-20,Colorado,Denver,East 33rd Ave and Hudson St,2,3,5
25-Jul-20,Texas,Dallas,525 S Riverfront Blvd,0,4,4
25-Jul-20,California,Manteca,4447 Woodward Ave,0,7,7
24-Jul-20,Georgia,Atlanta,Sunset Ave NW and Lester St NW,2,2,4
23-Jul-20,Virginia,Fairfield,3700 block of Meadowbridge Rd,1,3,4
23-Jul-20,Virginia,Petersburg,Wesley St,0,4,4
23-Jul-20,Illinois,Chicago,120th St and Prairie Ave,2,4,6
22-Jul-20,Michigan,Warren,28200 block of Lawson St,0,4,4
21-Jul-20,Illinois,Chicago,1018 W 79th St,0,15,15
20-Jul-20,Virginia,Richmond,6850 Forest Hill Ave,1,4,5
20-Jul-20,Illinois,Chicago,S Lawndale Ave and W Douglas Blvd,0,5,5
19-Jul-20,Michigan,Detroit,McKinney St and Meuse St,1,3,4
19-Jul-20,Illinois,Peoria,NE Water St and Hamilton Blvd,0,13,13
19-Jul-20,Nebraska,Omaha,28th St and T Ave,0,8,8
19-Jul-20,Illinois,Chicago,11300 block of South Carpenter St,2,3,5
19-Jul-20,District of Columbia,Washington,3600 block of 14th St NW,1,8,9
19-Jul-20,Michigan,Detroit,9122 Dexter Ave,4,0,4
18-Jul-20,Illinois,Chicago,1600 block of S Keeler Ave,1,4,5
17-Jul-20,Ohio,Columbus,E 6th Ave and Summit St,0,4,4
17-Jul-20,Florida,Madison,SW Louisiana Terrace,0,4,4
16-Jul-20,Tennessee,Nashville,S 7th St and Sylvan St,0,5,5
15-Jul-20,Louisiana,Shreveport,6725 Buncombe Rd,1,3,4
15-Jul-20,New York,Brooklyn,President St and Franklin Ave,1,5,6
14-Jul-20,Missouri,Saint Joseph,S 18th St and Charles St,0,5,5
14-Jul-20,North Carolina,Durham,200 Block of S Benjamine St,0,8,8
13-Jul-20,New York,Brooklyn,Remsen Ave,0,6,6
13-Jul-20,Kentucky,Louisville,1200 block of W Hill St,1,3,4
13-Jul-20,Washington,Kent,23201 Pacific Hwy South,0,6,6
12-Jul-20,Louisiana,Baton Rouge,4718 Plank Rd,1,7,8
12-Jul-20,New York,Brooklyn,Madison St and Marcus Garvey Blvd,1,3,4
12-Jul-20,Michigan,Lansing,3029 BeauJardin Dr,0,5,5
12-Jul-20,Florida,Fort Lauderdale,3000 block of NW 12th Ct,2,2,4
12-Jul-20,Illinois,Chicago,700 block of W 66th Pl,1,3,4
12-Jul-20,Illinois,Chicago,1100 block of N Lawndale Ave,1,4,5
12-Jul-20,Mississippi,Como,2965 Hunter Chapel Road,2,4,6
11-Jul-20,New York,Rochester,485 N Clinton Ave,0,6,6
11-Jul-20,Delaware,Wilmington,600 block of N Pine St,0,5,5
7-Jul-20,Virginia,Alexandria,7900 block of Janna Lee Ave,0,5,5
7-Jul-20,New Jersey,Paterson,Harrison St and Carroll St,4,3,7
6-Jul-20,Illinois,Chicago,1305 W 76th St,0,6,6
5-Jul-20,Illinois,Chicago,3700 block of W Jackson Blvd,0,4,4
5-Jul-20,Iowa,Davenport,1000 block of W 3rd St,1,3,4
5-Jul-20,New York,New York (Manhattan),549 Academy St,0,5,5
5-Jul-20,South Carolina,Greenville,1701 White Horse Rd,2,8,10
5-Jul-20,Arkansas,Helena,1317 Perry St,1,3,4
5-Jul-20,Georgia,Atlanta,200 block of Auburn Ave,2,13,15
5-Jul-20,Missouri,Columbia,Volunteer Dr and Grace Ln,2,3,5
5-Jul-20,Wisconsin,Milwaukee,5800 block of W Hope Ave,0,4,4
5-Jul-20,Texas,Houston,Service Rd and Holcombe Blvd,0,4,4
5-Jul-20,Maryland,Cambridge,700 block of Weaver Ave,0,4,4
5-Jul-20,Illinois,Chicago,1500 block of S Millard Ave,1,5,6
5-Jul-20,Pennsylvania,Ephrata,6 Blackberry Ln,0,4,4
5-Jul-20,Illinois,Freeport,900 block of S Carroll Ave,1,5,6
5-Jul-20,Mississippi,Greenville,Union St,0,4,4
5-Jul-20,Michigan,Detroit,San Juan Dr and W McNichols Rd,2,4,6
4-Jul-20,South Carolina,Red Oak,N/A,0,5,5
4-Jul-20,Maryland,Temple Hills (Marlow Heights),4600 Dallas Pl,1,3,4
4-Jul-20,Georgia,Atlanta,1600 block of Lakewood Ave,0,5,5
4-Jul-20,Massachusetts,Lynn,134 Fayette St,1,4,5
4-Jul-20,Illinois,Chicago,8300 block of S Kingston Ave,1,3,4
4-Jul-20,Illinois,Chicago,6100 block of S Carpenter St,4,4,8
4-Jul-20,Louisiana,Baton Rouge,11300 block of Greenwell Springs Rd,0,4,4
4-Jul-20,Mississippi,Jackson,6340 Ridgewood Ct Dr,1,3,4
3-Jul-20,Alabama,Birmingham (Hoover),2000 Riverchase Galleria,1,3,4
3-Jul-20,Maryland,Baltimore,700 block of S Woodington Rd,0,4,4
2-Jul-20,California,Delano,2100 block of Oleander St,2,3,5
2-Jul-20,Massachusetts,Somerville,5 River Rd,0,4,4
2-Jul-20,New Jersey,Paterson,N Main St and Jefferson St,1,4,5
1-Jul-20,California,Oakland,MacArthur Fwy and 106th Ave,0,4,4
1-Jul-20,Louisiana,Lake Charles,1600 block of Moss St,0,4,4
30-Jun-20,Iowa,Davenport,1400 block of Pershing Ave,0,5,5
30-Jun-20,Georgia,Atlanta,Parkway Dr,1,4,5
30-Jun-20,Massachusetts,Boston,14 Circuit St,1,3,4
30-Jun-20,Illinois,Chicago,350 W Chicago Ave,0,4,4
30-Jun-20,Ohio,Dayton,3500 block of Stanford Pl,0,4,4
30-Jun-20,Arkansas,Greenbrier,123 Laramie Rd,0,4,4
29-Jun-20,California,Sylmar,Osborne St and Foothill Blvd,0,4,4
29-Jun-20,South Dakota,Sioux Falls,902 N Prairie Ave,1,3,4
28-Jun-20,Pennsylvania,Philadelphia,1900 block of E Somerset St,2,2,4
28-Jun-20,Alabama,Akron,Co Rd 21,0,7,7
27-Jun-20,Illinois,Chicago,3100 block of S Rhodes Ave,2,2,4
27-Jun-20,California,Red Bluff,10815 State Hwy 99W,3,4,7
27-Jun-20,Illinois,Peoria,1400 block of SW Jefferson St,0,4,4
27-Jun-20,New York,Brooklyn,Rockaway Pkwy and Ave B,0,4,4
27-Jun-20,Arkansas,Blytheville,600 block of Parkway Dr,3,1,4
26-Jun-20,Colorado,Aurora,698 Peoria St,0,5,5
26-Jun-20,California,Fresno,Pico Ave,0,4,4
26-Jun-20,Arizona,Phoenix,5035 W McDowell Rd,0,4,4
25-Jun-20,Pennsylvania,Philadelphia,Emerald St and E Atlantic St,0,4,4
25-Jun-20,Connecticut,Bridgeport,527 Huntington Rd,1,3,4
24-Jun-20,Tennessee,Jackson,Melwood St,0,4,4
23-Jun-20,Illinois,Chicago,9100 block of South Ellis Ave,0,4,4
23-Jun-20,Florida,Lake Worth,Lantana Rd and Edgecliff Ave,0,5,5
22-Jun-20,North Carolina,Charlotte,1800 block of Beatties Ford Rd,4,5,9
22-Jun-20,California,San Francisco,200 block of Leavenworth St,0,5,5
22-Jun-20,New York,Brooklyn,Sterling St and Brooklyn Ave,0,5,5
22-Jun-20,Minnesota,Minneapolis,N Morgan Ave and N 16th Ave,0,4,4
22-Jun-20,Minnesota,Minneapolis,627 W Broadway,0,4,4
22-Jun-20,Illinois,Chicago,200 S Central Park Blvd,0,5,5
22-Jun-20,Illinois,Chicago,5200 block of S Lowe Ave,0,4,4
22-Jun-20,Ohio,Columbus,1910 Fountainview Ct,1,4,5
21-Jun-20,New York,Buffalo,W Ferry St and Niagara St,0,4,4
21-Jun-20,Texas,Austin,500 block of E 7th St,0,5,5
21-Jun-20,Minnesota,Minneapolis,2939 Hennepin Ave S,0,11,11
21-Jun-20,Alabama,Auburn,600 block of Railroad Ave,0,4,4
21-Jun-20,Texas,Corpus Christi,5802 Everhart Rd,1,3,4
21-Jun-20,Wisconsin,Milwaukee,North 28th St and West Ruby Ave,0,5,5
21-Jun-20,Illinois,Chicago,2600 block of W Potomac Ave,1,3,4
20-Jun-20,New York,Bronx,Mount Eden Pkwy and Monroe Ave,0,4,4
20-Jun-20,New York,Syracuse,Marcellus St and Wyoming St,1,8,9
20-Jun-20,Michigan,Detroit,Appoline St and Puritan Ave,0,4,4
20-Jun-20,Michigan,Saginaw,Livingston Dr and Tausend St,1,3,4
20-Jun-20,Wisconsin,Janesville,6530 S US-51,0,5,5
20-Jun-20,North Carolina,Pinetops,715 E Lashley St,2,2,4
20-Jun-20,New Jersey,Jersey City,Union St and Ocean Ave,1,4,5
20-Jun-20,Kansas,Wichita,3741 N Rock Rd,0,5,5
20-Jun-20,New York,Bronx,Mapes Ave,0,4,4
18-Jun-20,New York,Albany,8 Albany St,0,7,7
17-Jun-20,Illinois,Chicago,1323 W 76th St,0,4,4
16-Jun-20,Iowa,Fort Dodge,900 block of 10th Ave SW,2,2,4
15-Jun-20,Illinois,Chicago,W Diversey Ave,0,4,4
14-Jun-20,Minnesota,Minneapolis,328 W Broadway Ave,1,6,7
14-Jun-20,Kentucky,Louisville,531 Franklin St,1,4,5
14-Jun-20,Louisiana,Lafayette,400 block of Jefferson St,0,5,5
14-Jun-20,Louisiana,Lake Charles,3945 US-90,0,4,4
14-Jun-20,Louisiana,New Orleans,600 block of S Lopez St,2,2,4
13-Jun-20,Arkansas,Rison,Carver St and Center St,0,4,4
13-Jun-20,California,Hesperia,8100 block of Julie Ct,0,5,5
13-Jun-20,Missouri,Saint Louis,3103 N Grand Blvd,2,4,6
13-Jun-20,New York,Wyandanch,76 Grand Blvd,1,7,8
13-Jun-20,Maryland,Baltimore,700 block of S Broadway St,0,5,5
13-Jun-20,District of Columbia,Washington,3100 block of Waclark Pl SE,2,5,7
13-Jun-20,Georgia,Atlanta,69 Mason Ave NE,2,5,7
12-Jun-20,Pennsylvania,Philadelphia,N Broad St and Colwyn St,0,6,6
12-Jun-20,New York,Bronx,E 233rd St and Bronx River Pkwy,1,3,4
12-Jun-20,Texas,San Antonio,8134 Broadway St,0,8,8
11-Jun-20,Virginia,Richmond,800 block of N 1st St,0,4,4
11-Jun-20,District of Columbia,Washington,1200 block of Mt Olivet Rd NE,0,7,7
11-Jun-20,Louisiana,Monroe,1101 Richwood Road 2,6,0,6
11-Jun-20,Texas,Houston,5840 Glenmont Dr,2,4,6
10-Jun-20,California,Sacramento,68th Avenue and Della Circle,1,4,5
10-Jun-20,Ohio,Toledo,1100 block of Baker St,1,3,4
10-Jun-20,California,Paso Robles,900 Park St,2,4,6
9-Jun-20,North Carolina,Scotland Neck,E 13th St and Greenwood St,0,5,5
9-Jun-20,Pennsylvania,Philadelphia,600 block N 8th St,1,6,7
9-Jun-20,California,Vallejo,100 block of Cynthia Ave,2,3,5
8-Jun-20,New York,Brooklyn,512 Bristol St,0,4,4
8-Jun-20,Tennessee,Memphis,1525 E McLemore Ave,0,4,4
7-Jun-20,Arkansas,Hope,1400 block of East Hickory St,0,5,5
7-Jun-20,Illinois,Robbins,13600 block of Central Park Ave,1,3,4
7-Jun-20,Missouri,Sikeston,915 Plantation Blvd,2,7,9
7-Jun-20,Tennessee,Dyersburg,1305 Grant St,0,5,5
7-Jun-20,Illinois,Chicago,50 block of S Seeley Ave,1,3,4
7-Jun-20,Illinois,Chicago,3700 block of S State St,0,6,6
6-Jun-20,Missouri,Kansas City,E 18th St and Vine St,1,4,5
6-Jun-20,Mississippi,Drew,Wilson Ave,0,5,5
6-Jun-20,California,Sacramento,Gardendale Rd and 29th St,1,4,5
6-Jun-20,Ohio,Ironton,1305 S 3rd St,0,4,4
5-Jun-20,Colorado,Denver,4900 block of Wheeling St,0,4,4
4-Jun-20,Alabama,Valhermoso Springs,522 Talucah Rd,7,0,7
2-Jun-20,Texas,Dallas,7460 S Westmoreland Rd,1,3,4
2-Jun-20,Wisconsin,Racine,Kewaunee St and Michigan Blvd,0,5,5
2-Jun-20,Illinois,Chicago,8404 S Colfax Ave,0,4,4
1-Jun-20,Missouri,Saint Louis,1915 Olive St,0,4,4
31-May-20,Mississippi,Gulfport,S Carolina Ave and Polk St,1,5,6
31-May-20,Pennsylvania,Philadelphia,700 block of E Clearfield St,0,4,4
30-May-20,New Jersey,Paterson,E 23rd St and 10th Ave,0,4,4
30-May-20,District of Columbia,Washington,300 block of 37th St SE,0,4,4
30-May-20,Texas,Houston,9635 Scott St,1,4,5
30-May-20,Florida,Altha,21281 Apachee Rd,2,4,6
30-May-20,North Carolina,Gastonia,3000 block of Earl Ln,1,5,6
29-May-20,Virginia,Portsmouth,500 block of Edwards St,0,5,5
28-May-20,Kentucky,Louisville,601 W Jefferson St,0,7,7
28-May-20,Tennessee,Memphis,TN 385 and Kirby Pkwy,0,4,4
28-May-20,Pennsylvania,Philadelphia,300 block of N 55th St,1,3,4
27-May-20,Massachusetts,Boston,5 Ames St,1,4,5
27-May-20,Ohio,Cleveland,12800 Euclid Ave,1,3,4
27-May-20,California,San Jose,1100 block of William Ct,0,5,5
27-May-20,Pennsylvania,Philadelphia,1800 block of Hart Ln,0,4,4
26-May-20,Mississippi,Vicksburg,4045 Clay St,0,4,4
26-May-20,Pennsylvania,Philadelphia,2700 block of N Darian St,0,4,4
26-May-20,Illinois,Chicago,W Washington Blvd and N Hamlin Blvd,2,2,4
26-May-20,California,Los Angeles,119th St and Berendo Ave,0,5,5
26-May-20,South Carolina,Bowman,Dibble St and Rail St,3,5,8
25-May-20,Louisiana,Lake Charles,6780 US-90,0,6,6
24-May-20,Missouri,Saint Louis,Union Boulevard and Cote Brilliante Ave,0,4,4
24-May-20,Alabama,Danville,70 Flint Creek Pvt Dr,3,1,4
24-May-20,South Carolina,Myrtle Beach,12th Ave N and Ocean Blvd,0,4,4
23-May-20,Texas,Houston,2900 Travis St,0,4,4
23-May-20,Illinois,Rock Island,800 14 1/2 St,1,4,5
23-May-20,South Carolina,Jonesville,100 block of Dover Rd,2,5,7
23-May-20,North Carolina,Charlotte,4900 Block of Albemarle Rd,0,6,6
23-May-20,Michigan,Flint,4100 block of Minerva St,1,3,4
23-May-20,Florida,Fort Lauderdale (Lauderhill),7776 NW 44th St,0,5,5
23-May-20,Florida,Daytona Beach,13 S Atlantic Ave,0,6,6
23-May-20,Illinois,Chicago,3911 W Grenshaw St,1,3,4
23-May-20,Mississippi,Jackson,2300 block of Oakhurst Dr,1,4,5
22-May-20,Ohio,Cleveland,11921 Miles Ave,1,3,4
20-May-20,Texas,Houston,6918 Landor St,2,3,5
19-May-20,Illinois,Decatur,300 block of West Leafland Ave,0,5,5
18-May-20,California,Bakersfield,901 W Columbus St,0,5,5
17-May-20,South Carolina,Charleston,23 Cannon St,0,4,4
17-May-20,Maryland,District Heights,6800 block of Atwood St,1,3,4
17-May-20,South Carolina,Saint Matthews,100 block of Bugleflower Ln,4,1,5
16-May-20,Louisiana,Bogalusa,Martin Luther King Dr and E 4th St,0,13,13
15-May-20,Florida,Gainesville,2305 SE Hawthorne Rd,0,5,5
15-May-20,Pennsylvania,Philadelphia,4300 block of Germantown Ave,0,4,4
14-May-20,New Mexico,Albuquerque,820 Louisiana SE,0,5,5
13-May-20,Illinois,Rockford,2914 W State St,1,4,5
13-May-20,Kentucky,Garrison,6151 Kinney Rd,1,4,5
13-May-20,Tennessee,Memphis,3500 block of Commerce Cir,0,4,4
11-May-20,Alabama,Montgomery,Rosa Parks Ave and Courtland Dr,0,4,4
10-May-20,Louisiana,Baton Rouge,2944 Plank Rd,0,5,5
10-May-20,Texas,Fort Worth,4750 Wilbarger St,0,5,5
10-May-20,Texas,Katy,18000 block of Bonners Park Cir,0,6,6
9-May-20,Missouri,Saint Louis,3500 block of Arkansas Ave,0,4,4
7-May-20,Maryland,Baltimore,5100 block of Stafford Rd,0,4,4
6-May-20,Texas,Houston,14200 block of Bridgeport Rd,3,1,4
6-May-20,Georgia,Albany,1900 block of Meadow Dr,1,3,4
6-May-20,Tennessee,Memphis,Barron Ave and Dogwood Dr,2,2,4
3-May-20,Ohio,Columbus,300 block of S Ashburton Rd,0,4,4
3-May-20,Florida,Jacksonville,2100 block of Brooklyn Rd,1,3,4
3-May-20,Illinois,Chicago,3700 W 13th St,0,5,5
2-May-20,Pennsylvania,Philadelphia,200 block of S Cecil St,0,4,4
29-Apr-20,Indiana,Indianapolis,451 E Stop 11 Rd,0,4,4
27-Apr-20,Wisconsin,Milwaukee,2800 block of N 12th St,5,0,5
26-Apr-20,New York,Troy,Jefferson St and 3rd St,0,4,4
26-Apr-20,North Carolina,Salisbury,900 block of E Lafayette St,1,4,5
25-Apr-20,Florida,Orlando,Elese St and Deerock Dr,1,4,5
25-Apr-20,Tennessee,Memphis,500 block of Josephine St,0,7,7
24-Apr-20,Texas,Houston,4714 Ward St,3,1,4
24-Apr-20,Indiana,Fort Wayne,3233 Diplomat Dr,0,4,4
18-Apr-20,Maryland,Hyattsville,7500 block of Courtney Pl,2,2,4
17-Apr-20,North Carolina,Greensboro,4400 block of Beckford Dr,1,3,4
17-Apr-20,Massachusetts,Springfield,College St,1,4,5
16-Apr-20,Pennsylvania,Philadelphia,Bustleton Ave and St Vincent St,0,4,4
15-Apr-20,Mississippi,Jackson,1200 block of Wood Village Dr,1,3,4
11-Apr-20,California,Bakersfield,Pioneer Rd and Sterling Rd,0,6,6
10-Apr-20,Michigan,Muskegon,800 block of Oak St,0,4,4
8-Apr-20,Michigan,Detroit,1200 block of Payton St,0,4,4
8-Apr-20,South Carolina,Greenwood,1522 Parkway,1,3,4
8-Apr-20,Alaska,Anchorage,10600 block of Elmore Rd,0,4,4
7-Apr-20,Illinois,Chicago,86th Street and Damen Avenue,1,3,4
5-Apr-20,New York,Brooklyn,181 Rockaway Pky,0,4,4
5-Apr-20,California,Los Angeles,89th St and Hobart Ave,1,3,4
5-Apr-20,South Carolina,Lancaster,Mahaffey Line Dr,1,4,5
4-Apr-20,Texas,Vidor,100 block of Hebert St,0,4,4
4-Apr-20,Texas,Lubbock,2107 49th St,2,2,4
4-Apr-20,Florida,Hialeah,W 69th St and 24th Ave,1,4,5
3-Apr-20,Kentucky,Louisville,1000 block of Cecil Ave,0,4,4
31-Mar-20,Georgia,Macon,571 Moreland Ave,3,1,4
30-Mar-20,Pennsylvania,Philadelphia,2000 block of W Harold St,0,5,5
29-Mar-20,Georgia,Atlanta,Ponce de Leon Ave and Parkway Dr,0,4,4
28-Mar-20,Maryland,Baltimore,1100 block of Washington Blvd,1,3,4
23-Mar-20,Texas,San Antonio,6700 block of Hickory Springs Dr,0,4,4
22-Mar-20,South Carolina,Hanahan,Edinburgh Drive,0,4,4
20-Mar-20,Virginia,Norfolk,800 block of Lincoln St,0,4,4
20-Mar-20,Missouri,Saint Louis,1923 Prairie Ave,0,4,4
18-Mar-20,Florida,Jacksonville,11501 Harts Rd,1,4,5
17-Mar-20,Maryland,Baltimore,300 block of McMechen St,0,7,7
15-Mar-20,North Carolina,Moncure,842 Moncure Flatwood Rd,7,0,7
15-Mar-20,Missouri,Springfield,3264 E Battlefield Rd,5,2,7
14-Mar-20,Michigan,Saginaw,4100 block of Gallagher St,2,2,4
14-Mar-20,New Mexico,Albuquerque,620 block of Arno SE,1,3,4
13-Mar-20,Illinois,Rockford,4104 Auburn St,0,4,4
13-Mar-20,Louisiana,New Orleans (Algiers),Wagner St and Hero Blvd,0,5,5
10-Mar-20,Pennsylvania,Chester,200 block of Broomall Street,2,2,4
8-Mar-20,Maryland,Rosedale,6247 Kenwood Ave,1,5,6
8-Mar-20,Illinois,South Holland,I 94 and E 162nd St,0,4,4
8-Mar-20,California,Ceres,3600 block of Spruce Ave,1,3,4
7-Mar-20,Ohio,Cleveland,3804 E 93rd St,1,18,19
7-Mar-20,New Mexico,Albuquerque,1700 block of Rayo Del Sol Dr SW,0,4,4
7-Mar-20,Illinois,Chicago,900 block of E 79th St,0,7,7
6-Mar-20,District of Columbia,Washington,6219 Dix St NE,0,6,6
4-Mar-20,California,Tulare,111 W Tulare Ave,1,5,6
29-Feb-20,Missouri,Kansas City,510 Westport Rd,1,4,5
29-Feb-20,Colorado,Brighton,Starr Ln and County Rd 2,0,5,5
26-Feb-20,Wisconsin,Milwaukee,3939 W Highland Blvd,6,0,6
25-Feb-20,Illinois,Chicago,1238 E 79th St,1,4,5
23-Feb-20,North Carolina,Clarkton,71 Tina Ln,3,1,4
23-Feb-20,Texas,Houston,8712 Airline Dr,0,7,7
20-Feb-20,Idaho,Caldwell,4321 S 10th Ave,2,3,5
20-Feb-20,North Carolina,Greensboro,Martin Luther King Jr Ave and Randolph Dr,0,4,4
17-Feb-20,Mississippi,Port Gibson,8027 Hwy 61,2,2,4
16-Feb-20,Connecticut,Hartford,451 Franklin Ave,1,5,6
16-Feb-20,Florida,Pensacola,517 W Gadsden St,1,4,5
15-Feb-20,Louisiana,New Orleans,Dryades St and 2nd St,0,4,4
15-Feb-20,Tennessee,Memphis,2800 block of Riverport Rd,0,7,7
14-Feb-20,Illinois,Chicago,6500 block of S King Dr,0,6,6
10-Feb-20,Delaware,Dover,200 block of W Reed St,1,4,5
8-Feb-20,Texas,Houston,1000 block of Calvin St,1,3,4
5-Feb-20,Indiana,Indianapolis,4100 block of Shady Oak Dr,4,0,4
3-Feb-20,Maine,Machias,323 Kennebec Rd,3,1,4
3-Feb-20,California,Lebec,8968 Grapevine Rd,1,5,6
1-Feb-20,Mississippi,Philadelphia,257 W Beacon St,0,4,4
31-Jan-20,California,Delano,Hiett Ave and County Line Rd,1,4,5
31-Jan-20,Louisiana,Shreveport,2000 Grimmett Dr,0,4,4
31-Jan-20,Florida,Boynton Beach,200 block of NE 1st Ct,1,3,4
30-Jan-20,California,Merced,100 block of W 18th St,0,4,4
27-Jan-20,Connecticut,Bridgeport,172 Golden Hill St,0,4,4
26-Jan-20,Missouri,Cape Girardeau,631 S Sprigg St,0,5,5
26-Jan-20,New York,Newburgh,1571 NY-300,3,1,4
26-Jan-20,North Carolina,Salisbury,1935 Jake Alexander Blvd,0,6,6
26-Jan-20,South Carolina,Hartsville,115 W Camden Ave,3,3,6
24-Jan-20,North Carolina,Vanceboro,107 Kinshaw Ct,5,0,5
22-Jan-20,Washington,Seattle,1530 3rd Ave,1,7,8
19-Jan-20,Missouri,Kansas City,4802 Noland Rd,2,15,17
19-Jan-20,Tennessee,Memphis,6761 Winchester Rd,1,4,5
19-Jan-20,Texas,San Antonio,1011 Avenue B,2,5,7
18-Jan-20,Texas,South Houston,700 block of Virginia St,2,2,4
17-Jan-20,Utah,Grantsville,93 Eastmoor Dr,4,1,5
16-Jan-20,Illinois,Chicago,234 N Pulaski Rd,0,5,5
11-Jan-20,Colorado,Aurora,17158 E Adriatic Place,0,5,5
8-Jan-20,Mississippi,Bay Saint Louis,10 Bay Park Way,2,2,4
5-Jan-20,Georgia,Atlanta,1008 Brady Ave NW,0,4,4
4-Jan-20,Florida,Ocala,800 block of NW 6th Ter,1,3,4
2-Jan-20,New York,Brooklyn,6120 3rd Ave,0,4,4
1-Jan-20,Ohio,Cleveland,1437 St Clair Ave NE,0,4,4
1-Jan-20,West Virginia,Huntington,1113 4th Ave,0,7,7
